"before","after"
"（ ( ❨ ﹙ （ ︵","("
"） ) ❩ ﹚ ） ︶",")"
""" 『 「 “ ‘ ' ` ﹁ ﹃ 〝 〃 ’ "" 』 」 ” ’' ﹂ ﹄ 〞",""""
"[ 〔 〘 【 ﹝ 【 〔  ︹  ︻","["
"] 〕 〙 】 ﹞ 】 〕 ︺ ︼","]"
"{ ❴ ﹛ ｛ ︷","{"
"} ❵ ﹜ ｝ ︸","}"
"< ⟨ 《 〈 〈 ＜ ﹤ ≦ ︽ ︿","<"
"> ⟩ 》 〉 ＞ ﹥ ≧ ︾ ﹀",">"
", ， , 、 , ﹐",","
"- — ― ── ﹣ – — ╴ ¯ ￣ ﹉ ﹊ ﹋ ﹌","-"
"~ ～ ~","~"
"! ！","!"
". 。 ‧ ． ﹒ ˙ ·","."
"... …","..."
": ： ﹕ ︰",":"
" ； ﹔",";"
"? ？","?"
"+ ＋ ＋ ﹢","+"
"% ％","%"
"* ＊ ×  ╳","*"
"| ｜ ︱ ︳ ∣ ︴","|"
"/ ∕ ╱ ／ ∥","/"
"\ ﹨ ╲ ＼ ﹨","\"
"＃ #","#"
"＄ $","$"
"＠ @","@"
"＆ &","&"
"= ﹦ ＝ ≡ ＝ ≒","="
"﹍ ﹎ ﹏ _","_"
